Stagione;Squadra;Prize_Cup
2019-20;CSKA Moscow Mule;0,07
2019-20;Los Angeles;0,3
2019-20;FK Partizena;3,42
2019-20;Olympique Bidet;13,19
2019-20;Der Holzfaller;0,65
2019-20;Parter;0,17
2019-20;Agghiaggiande;0,45
2019-20;Big Black Cimamori;1,75
2020-21;Vanndoria;20
2020-21;FK Partizena;6,75
2020-21;Der Holzfaller;4,82
2021-22;CSKA Moscow Mule;20
2021-22;Vanndoria;4,9
2022-23;ACDF;4,8
2022-23;Vanndoria;20
