Stagione;Giornata;Home;Away;GH;GA;PntH;PntA
2019-20;20;Der Holzfaller;ACDF;1;1;70;69
2019-20;20;Los Angeles;Agghiaggiande;0;4;64,5;81,5
2019-20;20;Olympique Bidet;Parter;3;2;80,5;72
2019-20;20;Vanndoria;FK Partizena;0;1;62;69
2019-20;21;ACDF;CSKA Moscow Mule;0;1;65,5;70,5
2019-20;21;Agghiaggiande;Parter;1;0;66;60,5
2019-20;21;Big Black Cimamori;Los Angeles;1;3;69;76,5
2019-20;21;FK Partizena;Der Holzfaller;1;2;68;73,5
2019-20;21;Vanndoria;Olympique Bidet;0;0;62,5;63
2019-20;22;CSKA Moscow Mule;FK Partizena;2;3;71;77,5
2019-20;22;Der Holzfaller;Vanndoria;1;0;68;65,5
2019-20;22;Los Angeles;ACDF;0;0;65;63,5
2019-20;22;Olympique Bidet;Agghiaggiande;1;2;68,5;71
2019-20;22;Parter;Big Black Cimamori;0;0;65,5;63
2020-21;1;Big Black Cimamori;Parter;2;1;75,5;66,5
2020-21;1;CSKA Moscow Mule;ACDF;2;4;73,5;85
2020-21;1;Der Holzfaller;Vanndoria;2;3;74,5;76,5
2020-21;1;FK Partizena;Agghiaggiande;2;1;72,5;66,5
2020-21;1;Olympique Bidet;Los Angeles;3;1;78;66,5
2020-21;2;ACDF;Der Holzfaller;2;0;73,5;62
2020-21;2;Agghiaggiande;Olympique Bidet;0;0;59,5;64,5
2020-21;2;Los Angeles;Big Black Cimamori;3;3;76,5;80
2020-21;2;Parter;CSKA Moscow Mule;3;4;78;81
2020-21;2;Vanndoria;FK Partizena;1;1;69,5;68,5
2020-21;3;Big Black Cimamori;Olympique Bidet;2;2;73,5;75,5
2020-21;3;CSKA Moscow Mule;Los Angeles;1;3;69,5;79,5
2020-21;3;Der Holzfaller;Parter;2;3;73;80
2020-21;3;FK Partizena;ACDF;4;2;84;71
2020-21;3;Vanndoria;Agghiaggiande;2;0;72;64
2020-21;4;ACDF;Vanndoria;2;0;72;65,5
2020-21;4;Agghiaggiande;Big Black Cimamori;3;0;80,5;63
2020-21;4;Los Angeles;Der Holzfaller;3;2;76,5;74
2020-21;4;Olympique Bidet;CSKA Moscow Mule;4;1;81;68
2020-21;4;Parter;FK Partizena;0;1;64;70
2020-21;5;ACDF;Agghiaggiande;0;0;61,5;64
2020-21;5;CSKA Moscow Mule;Big Black Cimamori;4;2;83;71,5
2020-21;5;Der Holzfaller;Olympique Bidet;0;1;62;68
2020-21;5;FK Partizena;Los Angeles;1;1;68,5;70,5
2020-21;5;Vanndoria;Parter;0;0;61,5;62
2020-21;6;Agghiaggiande;CSKA Moscow Mule;2;2;75;75,5
2020-21;6;Big Black Cimamori;Der Holzfaller;1;2;67;71
2020-21;6;Los Angeles;Vanndoria;2;0;72,5;63,5
2020-21;6;Olympique Bidet;FK Partizena;2;0;75;63,5
2020-21;6;Parter;ACDF;2;1;73;70,5
2020-21;7;ACDF;Los Angeles;2;0;75;64,5
2020-21;7;Der Holzfaller;CSKA Moscow Mule;0;1;64,5;67
2020-21;7;FK Partizena;Big Black Cimamori;1;3;67;78
2020-21;7;Parter;Agghiaggiande;1;1;69,5;68,5
2020-21;7;Vanndoria;Olympique Bidet;1;0;66,5;64
2020-21;8;Big Black Cimamori;Vanndoria;1;1;69;67
2020-21;8;CSKA Moscow Mule;FK Partizena;0;1;65;69,5
2020-21;8;Der Holzfaller;Agghiaggiande;2;2;75;72
2020-21;8;Los Angeles;Parter;2;1;72;70,5
2020-21;8;Olympique Bidet;ACDF;4;1;81,5;66
2020-21;9;ACDF;Big Black Cimamori;3;1;77,5;69,5
2020-21;9;Agghiaggiande;Los Angeles;3;0;78,5;59,5
2020-21;9;FK Partizena;Der Holzfaller;0;3;64,5;79,5
2020-21;9;Parter;Olympique Bidet;0;0;59,5;61
2020-21;9;Vanndoria;CSKA Moscow Mule;1;4;66;82
2020-21;10;ACDF;CSKA Moscow Mule;0;3;64,5;78
2020-21;10;Agghiaggiande;FK Partizena;0;0;65,5;61,5
2020-21;10;Los Angeles;Olympique Bidet;0;1;65;70
2020-21;10;Parter;Big Black Cimamori;1;0;66,5;62
2020-21;10;Vanndoria;Der Holzfaller;3;0;78,5;63
2020-21;11;Big Black Cimamori;Los Angeles;0;1;63;70,5
2020-21;11;CSKA Moscow Mule;Parter;2;2;75,5;74,5
2020-21;11;Der Holzfaller;ACDF;2;3;73;76,5
2020-21;11;FK Partizena;Vanndoria;0;2;61;72
2020-21;11;Olympique Bidet;Agghiaggiande;3;2;76;74,5
2020-21;12;ACDF;FK Partizena;3;1;77,5;69
2020-21;12;Agghiaggiande;Vanndoria;0;2;59;72,5
2020-21;12;Los Angeles;CSKA Moscow Mule;0;5;52;83,5
2020-21;12;Olympique Bidet;Big Black Cimamori;2;2;73,5;73
2020-21;12;Parter;Der Holzfaller;1;1;69;67,5
2020-21;13;Big Black Cimamori;Agghiaggiande;6;4;93;84
2020-21;13;CSKA Moscow Mule;Olympique Bidet;1;1;66;66,5
2020-21;13;Der Holzfaller;Los Angeles;4;0;82;62,5
2020-21;13;FK Partizena;Parter;1;2;68;71
2020-21;13;Vanndoria;ACDF;2;1;74,5;68,5
2020-21;14;Agghiaggiande;ACDF;2;2;72;71,5
2020-21;14;Big Black Cimamori;CSKA Moscow Mule;1;2;68;72,5
2020-21;14;Los Angeles;FK Partizena;0;0;64;62,5
2020-21;14;Olympique Bidet;Der Holzfaller;4;2;81;73,5
2020-21;14;Parter;Vanndoria;1;2;68;75,5
2020-21;15;ACDF;Parter;2;1;71,5;67,5
2020-21;15;CSKA Moscow Mule;Agghiaggiande;2;1;72;66,5
2020-21;15;Der Holzfaller;Big Black Cimamori;3;1;79,5;70
2020-21;15;FK Partizena;Olympique Bidet;2;0;75;64
2020-21;15;Vanndoria;Los Angeles;3;1;76;67
2020-21;16;Agghiaggiande;Parter;1;3;68;77
2020-21;16;Big Black Cimamori;FK Partizena;7;0;95,5;52,5
2020-21;16;CSKA Moscow Mule;Der Holzfaller;0;1;60;70,5
2020-21;16;Los Angeles;ACDF;2;1;75;68,5
2020-21;16;Olympique Bidet;Vanndoria;2;0;74;64
2020-21;17;ACDF;Olympique Bidet;0;2;65,5;72,5
