Nome;Stagione;QI;QA;Diff;VI;VA;VFA
SPORTIELLO;2019-20;1;2;1;0,1;0,15;0,12
MIRANTE;2019-20;1;1;0;0,05;0,05;0,05
SKORUPSKI;2019-20;10;7;-3;0,5;0,35;0,42
SEPE;2019-20;14;13;-1;0,15;0,1;0,12
PERIN;2019-20;1;4;3;0,15;0,3;0,23
HANDANOVIC;2019-20;18;15;-3;1,9;1,75;1,82
BUFFON;2019-20;4;6;2;0,6;0,7;0,65
BERISHA E;2019-20;8;9;1;0,3;0,35;0,32
DONNARUMMA G.;2019-20;15;12;-3;1,6;1,45;1,53
GABRIEL;2019-20;6;8;2;0,25;0,35;0,3
REINA;2019-20;1;1;0;0,1;0,1;0,1
SZCZESNY;2019-20;16;14;-2;2,4;2,3;2,35
CONSIGLI;2019-20;10;8;-2;0,25;0,15;0,2
PADELLI;2019-20;1;1;0;0,1;0,1;0,1
KARNEZIS;2019-20;1;1;0;0,15;0,15;0,15
MERET;2019-20;13;8;-5;1,75;1,5;1,62
GOLLINI;2019-20;13;9;-4;1,25;1,05;1,15
AUDERO;2019-20;10;7;-3;0,55;0,4;0,48
RADU I.;2019-20;5;4;-1;0,25;0,2;0,23
DRAGOWSKI;2019-20;10;10;0;0,5;0,5;0,5
PINSOGLIO;2019-20;1;1;0;0,15;0,15;0,15
STRAKOSHA;2019-20;14;16;2;1,1;1,2;1,15
CRAGNO;2019-20;11;1;-10;0,5;0,05;0,28
SIRIGU;2019-20;14;9;-5;1,35;1,1;1,23
OSPINA;2019-20;3;4;1;0,4;0,45;0,43
PROTO;2019-20;1;1;0;0,1;0,1;0,1
MUSSO;2019-20;9;10;1;0,45;0,5;0,47
TERRACCIANO;2019-20;1;1;0;0,05;0,05;0,05
OLSEN;2019-20;1;9;8;0,05;0,45;0,25
PAU LOPEZ;2019-20;13;9;-4;0,85;0,65;0,75
JORONEN;2019-20;8;9;1;0,25;0,3;0,28
CONTI;2019-20;5;3;-2;0,55;0,45;0,5
MASIELLO;2019-20;7;2;-5;0,25;0,05;0,15
GAGLIOLO;2019-20;9;9;0;0,35;0,35;0,35
CACCIATORE;2019-20;8;2;-6;0,4;0,1;0,25
HYSAJ;2019-20;7;2;-5;0,95;0,7;0,82
MARIO RUI;2019-20;5;3;-2;0,7;0,6;0,65
TONELLI;2019-20;5;3;-2;0,7;0,6;0,65
IZZO;2019-20;17;6;-11;1,1;0,55;0,83
GHIGLIONE;2019-20;5;11;6;0,15;0,45;0,3
BIRAGHI;2019-20;10;6;-4;0,2;0,05;0,12
D'AMBROSIO;2019-20;12;6;-6;0,9;0,6;0,75
BONUCCI;2019-20;20;19;-1;2,5;2,45;2,48
RUGANI;2019-20;7;1;-6;1,05;0,75;0,9
ASAMOAH;2019-20;7;5;-2;0,15;0,05;0,1
DE VRIJ;2019-20;13;19;6;1,9;2,2;2,05
RADU;2019-20;6;7;1;0,4;0,45;0,43
CALABRIA;2019-20;9;3;-6;0,95;0,65;0,8
DE SCIGLIO;2019-20;2;1;-1;0,6;0,55;0,57
ZAPATA C.;2019-20;9;2;-7;1,2;0,85;1,02
GHOULAM;2019-20;12;1;-11;1,6;1,05;1,33
KOULIBALY;2019-20;14;3;-11;1,9;1,35;1,62
MANOLAS;2019-20;14;10;-4;1,35;1,15;1,25
ROMAGNOLI;2019-20;9;10;1;1,05;1,1;1,08
FLORENZI;2019-20;6;5;-1;0,25;0,2;0,23
DE SILVESTRI;2019-20;11;4;-7;1,05;0,7;0,88
ACERBI;2019-20;14;17;3;1,1;1,25;1,18
DELL'ORCO;2019-20;5;1;-4;0,2;0,05;0,12
PELUSO;2019-20;4;2;-2;0,25;0,15;0,2
MAKSIMOVIC;2019-20;5;6;1;0,7;0,75;0,72
ZAPPACOSTA;2019-20;9;1;-8;0,9;0,5;0,7
FARAONI;2019-20;5;15;10;0,4;0,9;0,65
CHIRICHES;2019-20;4;1;-3;0,15;0,05;0,1
ALEX SANDRO;2019-20;7;8;1;1,5;1,55;1,52
TOLOI;2019-20;9;12;3;0,85;1;0,93
FELIPE;2019-20;6;2;-4;0,65;0,45;0,55
PEZZELLA GIU.;2019-20;5;2;-3;0,1;0,05;0,08
CIONEK;2019-20;6;3;-3;0,25;0,1;0,17
DJIMSITI;2019-20;8;10;2;0,75;0,85;0,8
SAMIR;2019-20;3;2;-1;0,05;0,05;0,05
SABELLI;2019-20;6;7;1;0,2;0,25;0,23
SKRINIAR;2019-20;15;9;-6;1,35;1,05;1,2
ADJAPONG;2019-20;3;1;-2;0,2;0,1;0,15
CALDARA;2019-20;4;1;-3;0,45;0,3;0,38
SPINAZZOLA;2019-20;7;8;1;0,45;0,5;0,47
BRUNO ALVES;2019-20;9;8;-1;0,25;0,2;0,23
CEPPITELLI;2019-20;7;5;-2;0,1;0,05;0,08
PAJAC;2019-20;5;2;-3;0,15;0,05;0,1
FERRARI G.;2019-20;2;3;1;0,05;0,1;0,08
MARTELLA;2019-20;6;3;-3;0,35;0,2;0,27
BARRECA;2019-20;6;2;-4;0,15;0,05;0,1
LUKAKU J.;2019-20;3;2;-1;0,25;0,2;0,23
LIROLA;2019-20;10;7;-3;0,55;0,4;0,48
FAZIO;2019-20;3;2;-1;0,3;0,25;0,28
BASTOS;2019-20;5;3;-2;0,4;0,3;0,35
BIRASCHI;2019-20;8;3;-5;0,6;0,35;0,47
BERESZYNSKI;2019-20;5;3;-2;0,25;0,15;0,2
BASTONI;2019-20;4;7;3;0,4;0,55;0,48
HATEBOER;2019-20;15;6;-9;1,45;1;1,23
DEPAOLI;2019-20;6;3;-3;0,3;0,15;0,22
GOSENS;2019-20;22;29;7;1,3;1,65;1,48
MILENKOVIC;2019-20;11;14;3;0,55;0,7;0,62
MUSACCHIO;2019-20;3;3;0;0,15;0,15;0,15
LYANCO;2019-20;8;2;-6;0,75;0,45;0,6
PALOMINO;2019-20;4;5;1;0,25;0,3;0,28
BONIFAZI;2019-20;10;5;-5;0,95;0,7;0,82
CASTAGNE;2019-20;13;9;-4;1,25;1,05;1,15
KOLAROV;2019-20;17;14;-3;1,25;1,1;1,18
LUCIONI;2019-20;5;7;2;0,35;0,45;0,4
VICARI;2019-20;5;5;0;0,2;0,2;0,2
ROMAGNA;2019-20;4;5;1;0,05;0,1;0,08
N'KOULOU;2019-20;15;4;-11;1,45;0,9;1,17
DALBERT;2019-20;4;8;4;0,4;0,6;0,5
MANCINI;2019-20;13;9;-4;1,35;1,15;1,25
PEZZELLA GER.;2019-20;9;9;0;0,45;0,45;0,45
STRYGER LARSEN;2019-20;8;10;2;0,2;0,3;0,25
ROGERIO;2019-20;7;1;-6;0,2;0,05;0,12
LUIZ FELIPE;2019-20;7;7;0;1,45;1,45;1,45
MARLON;2019-20;6;4;-2;0,35;0,25;0,3
DARMIAN;2019-20;9;8;-1;0,5;0,45;0,47
GODIN;2019-20;14;6;-8;0,85;0,45;0,65
KJAER;2019-20;8;2;-6;0,75;0,45;0,6
PELLEGRINI LU.;2019-20;6;8;2;0,3;0,4;0,35
DIJKS;2019-20;8;1;-7;0,45;0,1;0,28
CRISCITO;2019-20;16;14;-2;0,4;0,3;0,35
MAGNANI;2019-20;6;1;-5;0,2;0,05;0,12
COLLEY;2019-20;6;4;-2;0,25;0,15;0,2
BREMER;2019-20;4;2;-2;0,4;0,3;0,35
TER AVEST;2019-20;4;1;-3;0,3;0,15;0,22
DI LORENZO;2019-20;12;10;-2;1,6;1,5;1,55
MALCUIT;2019-20;8;2;-6;1,1;0,8;0,95
AINA;2019-20;3;3;0;0,85;0,85;0,85
DJIDJI;2019-20;8;2;-6;0,75;0,45;0,6
TROOST-EKONG;2019-20;5;5;0;0,3;0,3;0,3
KLAVAN;2019-20;6;3;-3;0,05;0,05;0,05
DANILO;2019-20;13;6;-7;1,95;1,6;1,77
SMALLING;2019-20;11;16;5;1,1;1,35;1,23
HERNANDEZ T.;2019-20;8;20;12;0,85;1,45;1,15
ROMERO;2019-20;9;5;-4;0,25;0,05;0,15
DEMIRAL;2019-20;4;3;-1;0,85;0,8;0,82
MATEJU;2019-20;6;3;-3;0,3;0,15;0,22
VAVRO;2019-20;9;2;-7;1,2;0,85;1,02
IGOR;2019-20;7;5;-2;0,25;0,15;0,2
RRAHMANI;2019-20;6;9;3;0,45;0,6;0,53
RODRIGO BECAO;2019-20;8;4;-4;0,4;0,2;0,3
DENSWIL;2019-20;3;3;0;0,05;0,05;0,05
TOMIYASU;2019-20;5;5;0;0,25;0,25;0,25
TOLJAN;2019-20;9;9;0;1,35;1,35;1,35
DE LIGT;2019-20;13;9;-4;1,95;1,75;1,85
CHANCELLOR;2019-20;6;7;1;0,25;0,3;0,28
OKOLI;2019-20;1;1;0;0,25;0,25;0,25
CISTANA;2019-20;7;6;-1;0,2;0,15;0,18
DUARTE;2019-20;9;1;-8;1;0,6;0,8
MULDUR;2019-20;5;4;-1;0,15;0,1;0,12
D'ALESSANDRO;2019-20;1;1;0;0,15;0,15;0,15
DE ROON;2019-20;11;10;-1;1,05;1;1,02
GOMEZ;2019-20;27;33;6;1,9;2,2;2,05
GRASSI;2019-20;7;5;-2;0,4;0,3;0,35
KURTIC;2019-20;16;12;-4;0,6;0,4;0,5
DIAWARA;2019-20;9;5;-4;0,95;0,75;0,85
MANCOSU;2019-20;8;22;14;0,75;1,45;1,1
BIRSA;2019-20;7;1;-6;0,35;0,05;0,2
CASTRO;2019-20;13;13;0;0,35;0,35;0,35
KRUNIC;2019-20;13;2;-11;1,4;0,85;1,12
SAPONARA;2019-20;11;3;-8;0,8;0,4;0,6
ZIELINSKI;2019-20;17;10;-7;2,3;1,95;2,12
BADELJ;2019-20;6;5;-1;0,4;0,35;0,38
PETRICCIONE;2019-20;5;8;3;0,35;0,5;0,42
VECINO;2019-20;9;10;1;0,95;1;0,97
BERNARDESCHI;2019-20;20;3;-17;3;2,15;2,58
KUCKA;2019-20;14;16;2;0,15;0,25;0,2
LAXALT;2019-20;5;3;-2;0,5;0,4;0,45
LAZOVIC;2019-20;11;14;3;0,15;0,3;0,23
PEROTTI;2019-20;14;14;0;0,9;0,9;0,9
RINCON;2019-20;11;8;-3;0,3;0,15;0,22
BROZOVIC;2019-20;12;19;7;0,75;1,1;0,93
MEDEL;2019-20;5;2;-3;0,25;0,1;0,17
KHEDIRA;2019-20;8;4;-4;0,9;0,7;0,8
BIGLIA;2019-20;9;1;-8;0,95;0,55;0,75
CANDREVA;2019-20;10;18;8;1,05;1,45;1,25
LULIC;2019-20;13;7;-6;1;0,7;0,85
PAROLO;2019-20;15;5;-10;1,15;0,65;0,9
BONAVENTURA;2019-20;18;10;-8;1,95;1,55;1,75
POLI;2019-20;10;10;0;0,55;0,55;0,55
VERDI;2019-20;17;8;-9;1,65;1,2;1,42
ALLAN;2019-20;15;7;-8;1;0,6;0,8
CALLEJON;2019-20;21;14;-7;1,3;0,95;1,12
JAJALO;2019-20;5;4;-1;0,3;0,25;0,28
NAINGGOLAN;2019-20;16;26;10;1,3;1,8;1,55
PJANIC;2019-20;15;18;3;2,2;2,35;2,28
DUNCAN;2019-20;11;11;0;1,55;1,55;1,55
MISSIROLI;2019-20;7;7;0;0,25;0,25;0,25
PELLEGRINI LO.;2019-20;13;18;5;0,85;1,1;0,98
BASELLI;2019-20;11;7;-4;0,7;0,5;0,6
BENASSI;2019-20;4;7;3;0,35;0,5;0,42
ROMULO;2019-20;9;10;1;0,3;0,35;0,32
IONITA;2019-20;8;5;-3;0,25;0,1;0,17
ZACCAGNI;2019-20;10;13;3;0,75;0,9;0,82
FARES;2019-20;7;1;-6;0,25;0,05;0,15
PULGAR;2019-20;15;15;0;0,75;0,75;0,75
MILINKOVIC-SAVIC;2019-20;23;18;-5;1,8;1,55;1,68
CUADRADO;2019-20;8;7;-1;1;0,95;0,97
ANSALDI;2019-20;15;17;2;0,5;0,6;0,55
CRISTANTE;2019-20;9;5;-4;1,45;1,25;1,35
FREULER;2019-20;13;13;0;1,25;1,25;1,25
GAGLIARDINI;2019-20;9;10;1;0,4;0,45;0,43
LOCATELLI;2019-20;12;8;-4;0,4;0,2;0,3
KESSIE';2019-20;11;4;-7;1;0,65;0,82
DI FRANCESCO F;2019-20;12;11;-1;1,4;1,35;1,38
BARELLA;2019-20;18;11;-7;3,35;3;3,17
MANDRAGORA;2019-20;6;7;1;0,35;0,4;0,38
SENSI;2019-20;14;16;2;1,45;1,55;1,5
FOFANA;2019-20;12;10;-2;0,6;0,5;0,55
JANKTO;2019-20;9;9;0;0,25;0,25;0,25
DE PAUL;2019-20;22;17;-5;1,05;0,8;0,93
CHIESA;2019-20;27;18;-9;1,35;0,9;1,12
MURGIA;2019-20;8;4;-4;0,2;0,05;0,12
LINETTY;2019-20;11;12;1;0,55;0,6;0,58
LUKIC;2019-20;4;3;-1;0,3;0,25;0,28
MIGUEL VELOSO;2019-20;7;16;9;0,25;0,7;0,47
ROG;2019-20;10;9;-1;1,05;1;1,02
PASALIC;2019-20;18;19;1;1,3;1,35;1,33
LUIS ALBERTO;2019-20;21;29;8;2,75;3,15;2,95
BENTANCUR;2019-20;11;11;0;1,5;1,5;1,5
BARAK;2019-20;10;5;-5;0,5;0,25;0,38
MARUSIC;2019-20;5;5;0;0,4;0,4;0,4
CALHANOGLU;2019-20;13;14;1;1,4;1,45;1,42
DOUGLAS COSTA;2019-20;7;10;3;1,55;1,7;1,62
UNDER;2019-20;19;11;-8;1,25;0,85;1,05
BERENGUER;2019-20;9;19;10;0,85;1,35;1,1
LUCAS LEIVA;2019-20;10;7;-3;0,3;0,15;0,22
VERETOUT;2019-20;14;13;-1;0,9;0,85;0,88
LAZZARI;2019-20;17;11;-6;1,3;1;1,15
RAMIREZ;2019-20;9;17;8;0,45;0,85;0,65
MATUIDI;2019-20;13;6;-7;1,95;1,6;1,77
LERIS;2019-20;5;1;-4;0,25;0,05;0,15
RABIOT;2019-20;14;3;-11;2,1;1,55;1,83
EKDAL;2019-20;7;7;0;0,55;0,55;0,55
WALACE;2019-20;1;1;0;0,15;0,15;0,15
RIBERY;2019-20;19;18;-1;2,6;2,55;2,58
TRAORE' HJ.;2019-20;12;9;-3;0,3;0,15;0,22
RAMSEY;2019-20;17;9;-8;2,55;2,15;2,35
MKHITARYAN;2019-20;15;16;1;1;1,05;1,02
SORIANO;2019-20;14;15;1;0,5;0,55;0,53
CASTILLEJO;2019-20;10;7;-3;1,1;0,95;1,03
PESSINA;2019-20;10;12;2;0,45;0,55;0,5
ZANIOLO;2019-20;16;16;0;1,05;1,05;1,05
RUIZ;2019-20;17;8;-9;2,3;1,85;2,07
YOUNES;2019-20;8;1;-7;1,1;0,75;0,93
KLUIVERT;2019-20;16;13;-3;1,35;1,2;1,28
MEITE';2019-20;11;3;-8;1,05;0,65;0,85
BENNACER;2019-20;12;3;-9;1,3;0,85;1,08
KULUSEVSKI;2019-20;6;26;20;0,3;1,3;0,8
VIEIRA;2019-20;3;3;0;0,75;0,75;0,75
GHEZZAL;2019-20;2;2;0;0,45;0,45;0,45
PAQUETA';2019-20;14;3;-11;1,5;0,95;1,23
LERAGER;2019-20;7;2;-5;0,3;0,05;0,17
GAETANO;2019-20;1;1;0;0,15;0,15;0,15
CASTROVILLI;2019-20;8;21;13;0,4;1,05;0,73
MARONI;2019-20;7;1;-6;0,35;0,05;0,2
AGOUME;2019-20;1;1;0;0,35;0,35;0,35
HERNANI;2019-20;7;7;0;0,35;0,35;0,35
JONY;2019-20;7;2;-5;0,55;0,3;0,43
MALINOVSKYI;2019-20;11;14;3;1,05;1,2;1,12
