Nome;Stagione;QI;QA;Diff;VI;VA;VFA
HERNANDEZ T.;2022-23;22;15;-7;7,45;7,1;7,28
HRISTOV;2022-23;3;3;0;0,1;0,1;0,1
HYSAJ;2022-23;6;7;1;0,55;0,6;0,58
IBANEZ;2022-23;9;11;2;1,5;1,6;1,55
IGOR;2022-23;10;4;-6;2;1,7;1,85
IKONE';2022-23;15;15;0;4,15;4,15;4,15
ILIC;2022-23;13;6;-7;2,1;1,75;1,93
ILICIC;2022-23;11;10;-1;3;2,95;2,98
IMMOBILE;2022-23;42;32;-10;3;2,5;2,75
IZZO;2022-23;3;8;5;1;1,25;1,12
JUAN JESUS;2022-23;7;11;4;0,05;0,25;0,15
KAIO JORGE;2022-23;1;1;0;1,7;1,7;1,7
KALULU;2022-23;15;9;-6;3;2,7;2,85
KARSDORP;2022-23;10;3;-7;0,25;0,05;0,15
KEAN;2022-23;14;15;1;8,95;9;8,97
KIWIOR;2022-23;6;7;1;0,1;0,15;0,12
KJAER;2022-23;5;3;-2;0,1;0,05;0,08
KOOPMEINERS;2022-23;15;23;8;1,65;2,05;1,85
KOVALENKO;2022-23;7;5;-2;0,2;0,1;0,15
KRUNIC;2022-23;6;3;-3;0,3;0,15;0,22
KUMBULLA;2022-23;4;2;-2;0,5;0,4;0,45
LAZETIC;2022-23;1;1;0;0,15;0,15;0,15
LAZOVIC;2022-23;13;17;4;2;2,2;2,1
LAZZARI;2022-23;10;8;-2;1,1;1;1,05
LOBOTKA;2022-23;12;17;5;0,35;0,6;0,47
LOCATELLI;2022-23;9;9;0;4,2;4,2;4,2
LOPEZ M.;2022-23;4;4;0;0,75;0,75;0,75
LOVATO;2022-23;6;2;-4;0,6;0,4;0,5
LOZANO;2022-23;18;20;2;5,5;5,6;5,55
LUIS ALBERTO;2022-23;25;25;0;5,5;5,5;5,5
LUKIC;2022-23;13;12;-1;0,5;0,45;0,47
LUPERTO;2022-23;6;8;2;0,25;0,35;0,3
MAEHLE;2022-23;9;11;2;3,6;3,7;3,65
MAGGIORE;2022-23;10;4;-6;0,25;0,05;0,15
MAGNANI;2022-23;3;4;1;0,5;0,55;0,53
MAIGNAN;2022-23;18;12;-6;9,85;9,55;9,7
MAKENGO;2022-23;8;8;0;0,8;0,8;0,8
MALEH;2022-23;5;4;-1;1,9;1,85;1,88
MALINOVSKYI;2022-23;21;14;-7;1,25;0,9;1,07
MANCINI;2022-23;10;11;1;3,35;3,4;3,38
MANDRAGORA;2022-23;9;8;-1;0,45;0,4;0,43
MARCHIZZA;2022-23;2;3;1;1,1;1,15;1,12
MARIN;2022-23;8;9;1;2,1;2,15;2,12
MARIO RUI;2022-23;9;14;5;0,55;0,8;0,68
MARTINEZ L.;2022-23;34;36;2;14,05;14,15;14,1
MARTINEZ QUARTA;2022-23;4;9;5;1,6;1,85;1,73
MARUSIC;2022-23;8;9;1;0,2;0,25;0,23
MCKENNIE;2022-23;11;7;-4;3,95;3,75;3,85
MERET;2022-23;14;18;4;8,35;8,55;8,45
MESSIAS;2022-23;14;12;-2;0,3;0,2;0,25
MIGUEL VELOSO;2022-23;6;4;-2;0,4;0,3;0,35
MILENKOVIC;2022-23;12;9;-3;2,4;2,25;2,33
MILINKOVIC-SAVIC;2022-23;29;27;-2;6,65;6,55;6,6
MILINKOVIC-SAVIC V.;2022-23;1;12;11;6,8;7,35;7,07
MIRANCHUK;2022-23;8;21;13;2,85;3,5;3,17
