ID;Nome;Data_nascita;Luogo_nascita;Nazionalita;url
SOTTIL;SOTTIL Riccardo;03/06/1999;Torino;Italia;https://img.a.transfermarkt.technology/portrait/header/386455-1594713376.jpg?lm=1
SOULE';SOULÉ Matias;15/04/2003;Mar del Plata;Argentina;https://img.a.transfermarkt.technology/portrait/header/668951-1631278048.jpg?lm=1
SOUMAORO;SOUMAORO Adama;18/06/1992;Fontenay-aux-Roses;Francia;https://img.a.transfermarkt.technology/portrait/header/126673-1661350658.jpg?lm=1
SPALEK;SPALEK Nikolas;12/02/1997;Sala;Slovacchia;
SPINAZZOLA;SPINAZZOLA Leonardo;25/03/1993;Foligno;Italia;https://img.a.transfermarkt.technology/portrait/header/118689-1595925786.jpg?lm=1
SPORTIELLO;SPORTIELLO Marco;10/05/1992;Desio;Italia;https://img.a.transfermarkt.technology/portrait/header/199976-1661351013.jpg?lm=1
SPROCATI;SPROCATI Mattia;28/04/1993;Monza;Italia;
STEPINSKI;STEPINSKI Mariusz;12/05/1995;Sieradz;Polonia;
STOJANOVIC;STOJANOVIC Petar;07/10/1995;Lubiana;Slovenia;https://img.a.transfermarkt.technology/portrait/header/183841-1632394381.jpg?lm=1
STRAKOSHA;STRAKOSHA Thomas;19/03/1995;Atene;Albania;
STRANDBERG;STRANDBERG Stefan;14/04/1996;Goteborg;Svezia;
STREFEZZA;STREFEZZA Gabriel;18/04/1997;San Paolo;Brasile;https://img.a.transfermarkt.technology/portrait/header/457673-1594717563.jpg?lm=1
STROOTMAN;STROOTMAN Kevin;13/02/1990;Ridderkerk;Olanda;
STRYGER LARSEN;STRYGER LARSEN Jens;21/02/1991;Sakskobing;Danimarca;
STULAC;STULAC Leo;26/09/1994;Koper;Slovenia;
STURARO;STURARO Stefano;09/03/1993;Sanremo;Italia;
SUCCESS;SUCCESS Isaac;07/01/1996;Benin City;Nigeria;https://img.a.transfermarkt.technology/portrait/header/295331-1630653144.jpg?lm=1
SUSO;SUSO;19/11/1993;Cadice;Spagna;
SUTALO;SUTALO Bosko;01/01/2000;Metkovic;Croazia;
SVANBERG;SVANBERG Mattias;05/01/1999;Malmo;Svezia;
SVILAR;SVILAR Mile;27/08/1999;Anversa;Serbia;https://img.a.transfermarkt.technology/portrait/header/338670-1603794249.jpg?lm=1
SZCZESNY;SZCZESNY Wojciech;18/04/1990;Varsavia;Polonia;https://img.a.transfermarkt.technology/portrait/header/44058-1595847517.jpg?lm=1
TABANELLI;TABANELLI Andrea;02/02/1990;Ravenna;Italia;
TACHTSIDIS;TACHTSIDIS Panagiotis;15/02/1991;Nauplia;Grecia;
TAMEZE;TAMEZE Adrien;04/11/1994;Lilla;Camerun;https://img.a.transfermarkt.technology/portrait/header/157507-1594708146.jpg?lm=1
TATARUSANU;TATARUSANU Ciprian;09/02/1986;Bucarest;Romania;
TEODORCZYK;TEODORCZYK Lukasz;03/06/1991;Zuromin;Polonia;
TER AVEST;TER AVEST Hidde;20/05/1997;Wierden;Olanda;
TERRACCIANO;TERRACCIANO Pietro;08/03/1990;San Felice a Cancello;Italia;https://img.a.transfermarkt.technology/portrait/header/96254-1595853091.jpg?lm=1
TERRACCIANO F.;TERRACCIANO Filippo;08/02/2003;Verona;Italia;https://img.a.transfermarkt.technology/portrait/header/631007-1639584090.jpg?lm=1
TERZIC;TERZIC Aleksa;17/08/1999;Belgrado;Serbia;https://img.a.transfermarkt.technology/portrait/header/404260-1633962887.jpg?lm=1
TESSMANN;TESSMANN Tanner;24/09/2001;Birmingham;Stati Uniti;
THEATE;THEATE Arthur;25/05/2000;Liegi;Belgio;
THEREAU;THEREAU Cyril;24/04/1983;Privas;Francia;
THIAM D;THIAM Demba;09/03/1998;Dakar;Senegal;
THIAW;THIAW Malick;08/08/2001;Dusseldorf;Germania;https://img.a.transfermarkt.technology/portrait/header/521964-1657108501.jpg?lm=1
THORSBY;THORSBY Morten;05/05/1996;Oslo;Norvegia;
